topic1,topic2,jsd
gun-rights,social-justice,0.413
gun-rights,social-responsibility,0.37
gun-rights,stereotypes,0.419
gun-violence,inequality-inequity,0.351
gun-violence,libertarianism-libertarian-party,0.389
gun-violence,marijuana,0.359
gun-violence,mental-health,0.365
gun-violence,national-defense-national-security,0.367
gun-violence,patriotism-patriotic-patriot,0.38
gun-violence,police-brutality,0.361
gun-violence,religion-religious,0.33
gun-violence,school-choice,0.397
gun-violence,scientific,0.438
gun-violence,social-justice,0.333
gun-violence,social-responsibility,0.333
gun-violence,stereotypes,0.357
inequality-inequity,libertarianism-libertarian-party,0.357
inequality-inequity,marijuana,0.346
inequality-inequity,mental-health,0.357
inequality-inequity,national-defense-national-security,0.36
inequality-inequity,patriotism-patriotic-patriot,0.332
inequality-inequity,police-brutality,0.379
inequality-inequity,religion-religious,0.322
inequality-inequity,school-choice,0.353
inequality-inequity,scientific,0.427
inequality-inequity,social-justice,0.287
inequality-inequity,social-responsibility,0.249
inequality-inequity,stereotypes,0.339
libertarianism-libertarian-party,marijuana,0.309
libertarianism-libertarian-party,mental-health,0.392
libertarianism-libertarian-party,national-defense-national-security,0.322
libertarianism-libertarian-party,patriotism-patriotic-patriot,0.355
libertarianism-libertarian-party,police-brutality,0.369
libertarianism-libertarian-party,religion-religious,0.385
libertarianism-libertarian-party,school-choice,0.388
libertarianism-libertarian-party,scientific,0.411
libertarianism-libertarian-party,social-justice,0.298
libertarianism-libertarian-party,social-responsibility,0.29
libertarianism-libertarian-party,stereotypes,0.39
marijuana,mental-health,0.288
marijuana,national-defense-national-security,0.323
marijuana,patriotism-patriotic-patriot,0.386
marijuana,police-brutality,0.394
marijuana,religion-religious,0.374
marijuana,school-choice,0.35
marijuana,scientific,0.43
marijuana,social-justice,0.349
marijuana,social-responsibility,0.264
marijuana,stereotypes,0.361
mental-health,national-defense-national-security,0.371
mental-health,patriotism-patriotic-patriot,0.377
mental-health,police-brutality,0.404
mental-health,religion-religious,0.346
mental-health,school-choice,0.327
mental-health,scientific,0.424
mental-health,social-justice,0.369
mental-health,social-responsibility,0.323
mental-health,stereotypes,0.349
national-defense-national-security,patriotism-patriotic-patriot,0.314
national-defense-national-security,police-brutality,0.392
national-defense-national-security,religion-religious,0.346
national-defense-national-security,school-choice,0.373
national-defense-national-security,scientific,0.434
national-defense-national-security,social-justice,0.318
national-defense-national-security,social-responsibility,0.281
national-defense-national-security,stereotypes,0.385
patriotism-patriotic-patriot,police-brutality,0.401
patriotism-patriotic-patriot,religion-religious,0.322
patriotism-patriotic-patriot,school-choice,0.381
patriotism-patriotic-patriot,scientific,0.451
patriotism-patriotic-patriot,social-justice,0.317
patriotism-patriotic-patriot,social-responsibility,0.294
patriotism-patriotic-patriot,stereotypes,0.357
police-brutality,religion-religious,0.378
police-brutality,school-choice,0.432
police-brutality,scientific,0.454
police-brutality,social-justice,0.342
police-brutality,social-responsibility,0.363
police-brutality,stereotypes,0.382
religion-religious,school-choice,0.373
religion-religious,scientific,0.432
religion-religious,social-justice,0.325
religion-religious,social-responsibility,0.296
religion-religious,stereotypes,0.309
school-choice,scientific,0.423
school-choice,social-justice,0.36
school-choice,social-responsibility,0.327
school-choice,stereotypes,0.374
scientific,social-justice,0.438
scientific,social-responsibility,0.384
scientific,stereotypes,0.434
social-justice,social-responsibility,0.28
social-justice,stereotypes,0.334
social-responsibility,stereotypes,0.328
