topic,response_type,model1,model2,jsd
black-lives-matter,purity,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.429
black-lives-matter,purity,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.515
black-lives-matter,purity,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.553
black-lives-matter,purity,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.505
black-lives-matter,purity,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.481
black-lives-matter,purity,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.516
black-lives-matter,purity,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.45
black-lives-matter,purity,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.444
black-lives-matter,purity,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.462
black-lives-matter,purity,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.421
capital-punishment-death-penalty,authority,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.358
capital-punishment-death-penalty,authority,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.413
capital-punishment-death-penalty,authority,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.533
capital-punishment-death-penalty,authority,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.434
capital-punishment-death-penalty,authority,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.546
capital-punishment-death-penalty,authority,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.402
capital-punishment-death-penalty,authority,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.458
capital-punishment-death-penalty,authority,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.367
capital-punishment-death-penalty,authority,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.479
capital-punishment-death-penalty,authority,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.415
capital-punishment-death-penalty,authority,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.46
capital-punishment-death-penalty,authority,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.446
capital-punishment-death-penalty,authority,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.458
capital-punishment-death-penalty,authority,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.446
capital-punishment-death-penalty,authority,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.469
capital-punishment-death-penalty,authority,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.524
capital-punishment-death-penalty,authority,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.461
capital-punishment-death-penalty,authority,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.477
capital-punishment-death-penalty,authority,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.422
capital-punishment-death-penalty,authority,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.541
capital-punishment-death-penalty,authority,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.547
capital-punishment-death-penalty,authority,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.535
capital-punishment-death-penalty,authority,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.48
capital-punishment-death-penalty,authority,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.451
capital-punishment-death-penalty,authority,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.477
capital-punishment-death-penalty,authority,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.438
capital-punishment-death-penalty,authority,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.441
capital-punishment-death-penalty,authority,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.398
capital-punishment-death-penalty,base,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.499
capital-punishment-death-penalty,base,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.483
capital-punishment-death-penalty,base,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.475
capital-punishment-death-penalty,base,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.497
capital-punishment-death-penalty,base,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.434
capital-punishment-death-penalty,base,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.491
capital-punishment-death-penalty,base,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.429
capital-punishment-death-penalty,base,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.333
capital-punishment-death-penalty,base,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.439
capital-punishment-death-penalty,base,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.336
capital-punishment-death-penalty,base,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.412
capital-punishment-death-penalty,base,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.45
capital-punishment-death-penalty,base,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.422
capital-punishment-death-penalty,base,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.512
capital-punishment-death-penalty,base,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.359
capital-punishment-death-penalty,base,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.4
capital-punishment-death-penalty,base,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.443
capital-punishment-death-penalty,base,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.444
capital-punishment-death-penalty,base,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.477
capital-punishment-death-penalty,base,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.53
capital-punishment-death-penalty,base,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.529
capital-punishment-death-penalty,base,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.5
capital-punishment-death-penalty,base,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.414
capital-punishment-death-penalty,base,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.439
capital-punishment-death-penalty,base,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.445
capital-punishment-death-penalty,base,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.368
capital-punishment-death-penalty,base,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.324
capital-punishment-death-penalty,base,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.363
capital-punishment-death-penalty,care,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.383
capital-punishment-death-penalty,care,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.36
capital-punishment-death-penalty,care,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.492
capital-punishment-death-penalty,care,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.384
capital-punishment-death-penalty,care,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.425
capital-punishment-death-penalty,care,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.469
capital-punishment-death-penalty,care,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.463
capital-punishment-death-penalty,care,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.399
capital-punishment-death-penalty,care,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.45
capital-punishment-death-penalty,care,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.355
capital-punishment-death-penalty,care,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.434
capital-punishment-death-penalty,care,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.422
capital-punishment-death-penalty,care,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.434
capital-punishment-death-penalty,care,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.447
capital-punishment-death-penalty,care,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.412
capital-punishment-death-penalty,care,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.429
capital-punishment-death-penalty,care,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.477
capital-punishment-death-penalty,care,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.484
capital-punishment-death-penalty,care,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.445
capital-punishment-death-penalty,care,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.497
capital-punishment-death-penalty,care,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.503
capital-punishment-death-penalty,care,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.486
capital-punishment-death-penalty,care,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.434
capital-punishment-death-penalty,care,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.362
capital-punishment-death-penalty,care,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.418
capital-punishment-death-penalty,care,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.444
capital-punishment-death-penalty,care,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.495
capital-punishment-death-penalty,care,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.418
capital-punishment-death-penalty,equality,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.528
capital-punishment-death-penalty,equality,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.543
capital-punishment-death-penalty,equality,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.562
capital-punishment-death-penalty,equality,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.515
capital-punishment-death-penalty,equality,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.501
capital-punishment-death-penalty,equality,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.525
capital-punishment-death-penalty,equality,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.509
capital-punishment-death-penalty,equality,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.45
capital-punishment-death-penalty,equality,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.434
capital-punishment-death-penalty,equality,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.374
capital-punishment-death-penalty,equality,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.439
capital-punishment-death-penalty,equality,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.467
capital-punishment-death-penalty,equality,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.397
capital-punishment-death-penalty,equality,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.501
capital-punishment-death-penalty,equality,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.41
capital-punishment-death-penalty,equality,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.468
capital-punishment-death-penalty,equality,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.5
capital-punishment-death-penalty,equality,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.473
capital-punishment-death-penalty,equality,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.444
capital-punishment-death-penalty,equality,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.503
capital-punishment-death-penalty,equality,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.529
capital-punishment-death-penalty,equality,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.515
capital-punishment-death-penalty,equality,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.428
capital-punishment-death-penalty,equality,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.457
capital-punishment-death-penalty,equality,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.381
capital-punishment-death-penalty,equality,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.413
capital-punishment-death-penalty,equality,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.495
capital-punishment-death-penalty,equality,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.404
capital-punishment-death-penalty,loyalty,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.405
capital-punishment-death-penalty,loyalty,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.376
capital-punishment-death-penalty,loyalty,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.57
capital-punishment-death-penalty,loyalty,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.496
capital-punishment-death-penalty,loyalty,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.524
capital-punishment-death-penalty,loyalty,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.475
capital-punishment-death-penalty,loyalty,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.584
capital-punishment-death-penalty,loyalty,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.391
capital-punishment-death-penalty,loyalty,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.564
capital-punishment-death-penalty,loyalty,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.459
capital-punishment-death-penalty,loyalty,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.467
capital-punishment-death-penalty,loyalty,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.491
capital-punishment-death-penalty,loyalty,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.571
capital-punishment-death-penalty,loyalty,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.561
capital-punishment-death-penalty,loyalty,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.454
capital-punishment-death-penalty,loyalty,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.543
capital-punishment-death-penalty,loyalty,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.528
capital-punishment-death-penalty,loyalty,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.601
capital-punishment-death-penalty,loyalty,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.504
capital-punishment-death-penalty,loyalty,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.57
capital-punishment-death-penalty,loyalty,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.524
capital-punishment-death-penalty,loyalty,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.546
capital-punishment-death-penalty,loyalty,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.58
capital-punishment-death-penalty,loyalty,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.506
capital-punishment-death-penalty,loyalty,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.564
capital-punishment-death-penalty,loyalty,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.467
capital-punishment-death-penalty,loyalty,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.459
capital-punishment-death-penalty,loyalty,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.533
capital-punishment-death-penalty,proportionality,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.47
capital-punishment-death-penalty,proportionality,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.507
capital-punishment-death-penalty,proportionality,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.551
capital-punishment-death-penalty,proportionality,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.595
capital-punishment-death-penalty,proportionality,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.529
capital-punishment-death-penalty,proportionality,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.55
capital-punishment-death-penalty,proportionality,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.555
capital-punishment-death-penalty,proportionality,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.452
capital-punishment-death-penalty,proportionality,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.513
capital-punishment-death-penalty,proportionality,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.455
capital-punishment-death-penalty,proportionality,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.497
capital-punishment-death-penalty,proportionality,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.424
capital-punishment-death-penalty,proportionality,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.508
capital-punishment-death-penalty,proportionality,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.435
capital-punishment-death-penalty,proportionality,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.429
capital-punishment-death-penalty,proportionality,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.562
capital-punishment-death-penalty,proportionality,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.561
capital-punishment-death-penalty,proportionality,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.513
capital-punishment-death-penalty,proportionality,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.482
capital-punishment-death-penalty,proportionality,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.551
capital-punishment-death-penalty,proportionality,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.553
capital-punishment-death-penalty,proportionality,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.52
capital-punishment-death-penalty,proportionality,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.58
capital-punishment-death-penalty,proportionality,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.527
capital-punishment-death-penalty,proportionality,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.509
capital-punishment-death-penalty,proportionality,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.446
capital-punishment-death-penalty,proportionality,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.495
capital-punishment-death-penalty,proportionality,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.516
capital-punishment-death-penalty,purity,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.417
capital-punishment-death-penalty,purity,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.535
capital-punishment-death-penalty,purity,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.56
capital-punishment-death-penalty,purity,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.572
capital-punishment-death-penalty,purity,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.617
capital-punishment-death-penalty,purity,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.576
capital-punishment-death-penalty,purity,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.581
capital-punishment-death-penalty,purity,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.41
capital-punishment-death-penalty,purity,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.479
capital-punishment-death-penalty,purity,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.465
capital-punishment-death-penalty,purity,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.512
capital-punishment-death-penalty,purity,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.466
capital-punishment-death-penalty,purity,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.517
capital-punishment-death-penalty,purity,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.463
capital-punishment-death-penalty,purity,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.351
capital-punishment-death-penalty,purity,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.501
capital-punishment-death-penalty,purity,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.38
capital-punishment-death-penalty,purity,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.46
capital-punishment-death-penalty,purity,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.454
capital-punishment-death-penalty,purity,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.549
capital-punishment-death-penalty,purity,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.489
capital-punishment-death-penalty,purity,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.55
capital-punishment-death-penalty,purity,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.49
capital-punishment-death-penalty,purity,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.408
capital-punishment-death-penalty,purity,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.464
capital-punishment-death-penalty,purity,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.416
capital-punishment-death-penalty,purity,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.484
capital-punishment-death-penalty,purity,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.446
capitalism,authority,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.37
capitalism,authority,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.438
capitalism,authority,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.381
capitalism,authority,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.432
capitalism,authority,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.412
capitalism,authority,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.394
capitalism,authority,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.606
capitalism,authority,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.3
capitalism,authority,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.364
capitalism,authority,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.394
capitalism,authority,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.398
capitalism,authority,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.375
capitalism,authority,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.615
capitalism,authority,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.431
capitalism,authority,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.39
capitalism,authority,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.439
capitalism,authority,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.366
capitalism,authority,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.627
capitalism,authority,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.466
capitalism,authority,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.526
capitalism,authority,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.442
capitalism,authority,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.617
capitalism,authority,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.474
capitalism,authority,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.382
capitalism,authority,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.636
capitalism,authority,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.408
capitalism,authority,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.643
capitalism,authority,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.628
capitalism,base,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.351
capitalism,base,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.349
capitalism,base,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.4
capitalism,base,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.351
capitalism,base,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.408
capitalism,base,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.371
capitalism,base,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.693
capitalism,base,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.332
capitalism,base,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.385
capitalism,base,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.331
capitalism,base,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.367
capitalism,base,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.344
capitalism,base,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.693
capitalism,base,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.393
capitalism,base,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.4
capitalism,base,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.405
capitalism,base,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.412
capitalism,base,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.693
capitalism,base,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.384
capitalism,base,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.446
capitalism,base,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.452
capitalism,base,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.693
capitalism,base,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.414
capitalism,base,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.424
capitalism,base,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.693
capitalism,base,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.4
capitalism,base,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.693
capitalism,base,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.693
capitalism,care,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.399
capitalism,care,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.353
capitalism,care,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.387
capitalism,care,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.357
capitalism,care,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.432
capitalism,care,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.378
capitalism,care,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.37
capitalism,care,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.243
capitalism,care,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.256
capitalism,care,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.304
capitalism,care,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.452
capitalism,care,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.4
capitalism,care,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.388
capitalism,care,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.251
capitalism,care,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.267
capitalism,care,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.473
capitalism,care,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.38
capitalism,care,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.405
capitalism,care,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.322
